ps_partkey	value
450420	22200612.39
1406207	21361806.12
1287942	19192468.47
637524	19111928.02
537311	19108662.76
928641	18692571.17
668820	18619454.65
866167	18610146.43
643123	18016681.09
1484481	17894300.06
1961906	17814996.83
293834	17624152.27
781811	17615885.56
819132	17533787.76
565026	17516029.49
1575829	17508767.18
1105989	17501871.80
143914	17463407.92
336048	17337234.78
185550	17246811.54
1550967	16961056.43
612316	16874628.88
594217	16848182.36
105399	16684605.48
848085	16646660.08
1324954	16593108.01
489017	16528138.44
1191567	16503951.59
749631	16501792.97
1216351	16490589.29
1293215	16476608.46
843832	16459964.31
456491	16433787.85
883910	16419065.53
1018936	16338680.55
1892533	16336160.14
64690	16333692.54
1373746	16263508.48
1779687	16214206.59
1323157	16191993.11
1000255	16092719.73
484563	16089364.52
1780389	15862513.38
1858316	15799196.31
519190	15777122.35
773202	15741421.18
1079828	15725881.77
796402	15719701.40
10799	15662481.34
143136	15558039.58
513885	15541698.48
1125614	15507684.69
1840522	15492633.97
1541437	15479939.30
157114	15467749.34
1926581	15426679.73
1773746	15404904.57
156832	15385350.20
491050	15381777.24
1064594	15380935.60
1703399	15379220.59
352915	15362652.58
1534025	15362016.48
1928002	15360967.65
1163675	15350955.83
645225	15346655.30
1938559	15335086.96
1240306	15334953.07
1558521	15248786.94
884818	15212716.52
1734426	15211322.80
1423631	15204842.58
1421771	15202993.73
1415472	15198096.05
486582	15178728.96
1881993	15170928.97
400269	15163566.74
1037673	15119645.26
1230320	15113882.35
970138	15111703.10
1697192	15111564.68
1367308	15110349.07
426214	15097529.45
733314	15097453.10
1850231	15088935.10
475571	15068889.51
495456	15063824.84
135471	15046516.89
249252	15004759.74
1327801	14997497.74
69420	14983255.83
1055337	14976785.45
954286	14974271.08
1933024	14962754.81
500265	14959712.04
1695120	14955524.46
419191	14893926.84
1624922	14892163.14
569713	14882996.97
8057	14869202.70
1654302	14844968.06
1261258	14815159.32
1615038	14783775.40
624974	14774204.84
1231689	14753211.05
811923	14735211.19
1388020	14729613.32
1889851	14689922.97
685889	14683150.44
1278729	14682610.64
31011	14679129.00
1281908	14677091.02
188686	14669601.81
99907	14668790.97
1594340	14662507.90
1966486	14649320.11
1842843	14635675.79
1765505	14612385.48
166706	14607746.00
571714	14601029.05
207591	14598873.38
781559	14578662.78
1029667	14572960.52
195456	14564679.89
1263803	14535134.33
885576	14530834.62
1269138	14519471.34
948822	14504318.88
1844009	14497370.83
1502991	14450911.92
653744	14450551.49
660902	14449568.38
314483	14445600.12
1436218	14442164.06
1167731	14414935.64
131559	14409637.80
863523	14402355.88
1395139	14396265.52
350720	14395774.86
26670	14383412.32
1907239	14379355.43
329674	14378271.21
885371	14358869.61
995141	14348787.34
1669701	14348132.94
521082	14338815.36
758674	14325766.19
1752212	14317699.95
1089829	14301937.34
1980197	14295364.63
729813	14276265.90
1939597	14265090.03
1437900	14258864.43
653069	14224401.72
996517	14209804.26
159433	14207786.44
1202551	14207112.94
1061276	14189969.72
692420	14187713.61
1691004	14182738.26
357036	14182038.39
541344	14181791.06
385440	14178572.16
971592	14148890.45
1212184	14140193.31
1666104	14137993.74
893159	14136730.44
1840075	14129165.96
1835061	14127101.02
1871758	14124557.72
1803841	14102977.99
1442790	14084340.27
1166460	14083102.88
395512	14083076.96
481568	14068290.28
1176225	14062856.32
896945	14061614.72
1123819	14049464.54
1977005	14034067.17
1916414	14027641.20
631268	14017446.47
909425	14012971.06
1743801	13994557.65
710999	13988876.48
56725	13979728.64
1138664	13971177.10
812303	13967463.79
1512185	13958037.22
1800090	13957397.50
521704	13924910.16
1681535	13916356.89
925189	13910662.40
948542	13910599.72
202105	13909077.00
487950	13905732.92
1601447	13904263.67
1441112	13888459.68
709273	13884471.73
1847860	13883446.22
1563971	13883072.06
1051459	13857230.00
1071120	13855298.11
689833	13831925.90
575990	13822907.49
1985111	13815106.48
1216153	13787208.87
494729	13786068.63
120136	13778985.26
181956	13772444.19
453069	13768263.76
131991	13763872.99
396266	13759775.06
306647	13748505.15
307342	13748408.02
1375254	13746764.58
684222	13741262.77
914502	13708751.98
81725	13697882.48
1038997	13692105.64
648198	13688715.73
931571	13670983.85
1509922	13656058.43
1035444	13655913.26
76759	13652954.51
1570640	13650908.08
1021405	13647303.04
904618	13647051.78
409425	13646242.87
1451642	13637214.90
350733	13634599.19
1738396	13633828.43
1130334	13606923.51
408342	13606884.30
77538	13606840.94
1663247	13600828.36
631145	13582483.12
534780	13580534.91
230650	13578095.77
39898	13572801.74
577378	13568950.76
1712326	13558295.18
1362164	13556812.88
18700	13553324.88
1638043	13545608.58
200629	13538148.37
419565	13517604.72
837567	13505201.57
603368	13485554.27
1928050	13473686.99
1323970	13472319.39
1570291	13468900.16
1206920	13446229.71
1057522	13443408.11
362690	13442954.00
239016	13421130.78
590025	13417749.83
571990	13417711.23
60443	13413656.52
1209478	13407139.24
1377831	13405146.70
322947	13400493.06
1875694	13399519.16
1569325	13397812.25
222501	13374929.14
1005530	13373578.93
1074484	13370891.82
1770324	13362867.77
1416799	13350235.92
7668	13346426.35
366534	13344200.08
1160108	13343777.99
205406	13334643.06
1538507	13321762.62
1194621	13305508.55
884456	13305503.12
1361051	13303541.42
1043226	13296463.04
16517	13292031.67
1467438	13291113.06
724716	13290232.60
789097	13287673.82
168956	13283788.47
1292825	13277113.62
1244197	13266773.79
1050432	13260188.84
413137	13257773.15
1396124	13257320.58
644144	13250415.27
1418122	13242208.48
1145411	13239704.50
560656	13235772.99
328496	13234682.30
241076	13232811.28
233682	13225503.72
657103	13217886.00
1854274	13214471.97
251617	13194606.64
465922	13175264.34
1203846	13174213.80
1630478	13173959.08
1242396	13173385.85
1998642	13165749.06
1050485	13160684.50
1639396	13154503.50
1766485	13152257.22
1713776	13141091.72
1345014	13133084.80
381567	13130338.66
98439	13117551.96
1396479	13115320.52
1356788	13115178.54
141682	13110263.54
694156	13093109.02
1998229	13090720.79
1782354	13089396.87
585420	13088982.02
1467502	13076891.79
1316519	13076868.56
1788362	13072173.26
1294880	13068155.36
1879820	13059181.64
1867861	13051691.28
1491499	13037088.68
587990	13036144.16
1875776	13036022.91
26316	13033838.56
578040	13033343.43
52805	13032314.42
637956	13011972.18
775025	13007980.74
436516	13002984.79
212697	13002147.22
1574237	13001773.51
893890	12984727.33
151109	12983441.52
1713691	12981155.26
1364520	12971072.62
614011	12970816.43
