s_acctbal	s_name	n_name	p_partkey	p_mfgr	s_address	s_phone	s_comment
9999.66	Supplier#000043638	RUSSIA	368628	Manufacturer#3	pRnD Nz9fBDFin	32-383-297-3784	rts wake regularly against the quickly silent deposits. slyly
9998.36	Supplier#000052387	RUSSIA	1502356	Manufacturer#1	LpdenjQxxk5PKWL9J	32-501-422-8682	 haggle slyly final deposits. slyly unusual theodolites boost bli
9993.64	Supplier#000087248	GERMANY	1262235	Manufacturer#4	1OEtMvFhbyIQFb,LVXuhQOBfnpcMo3AUDutKs	17-883-366-3990	s. carefully brave theodolites according to the carefully ironic packages run enticingly ruthle
9993.64	Supplier#000087248	GERMANY	1337221	Manufacturer#5	1OEtMvFhbyIQFb,LVXuhQOBfnpcMo3AUDutKs	17-883-366-3990	s. carefully brave theodolites according to the carefully ironic packages run enticingly ruthle
9990.03	Supplier#000081720	UNITED KINGDOM	481719	Manufacturer#1	9p,sDTmwbliPlu0EwiOvXHT1maCt	33-166-373-3036	 unwind fluffily about the bold pinto beans. silent packages are acco
9986.40	Supplier#000082995	RUSSIA	1557979	Manufacturer#5	CXiBNZ6DUBjgY	32-510-919-3096	nding instructions boost. unusual, regular asymptotes above the fluffily express e
9984.21	Supplier#000035131	RUSSIA	985112	Manufacturer#3	8ef9GOD3X6JLav5H4X2XqOLICJW	32-993-135-7694	ithely even deposits across the quickly pending foxes are sp
9982.99	Supplier#000067992	RUSSIA	967991	Manufacturer#3	uTdW46lBVqibFCi 3Q	32-112-458-7308	ions. ideas nag furiously. regular packages should wake bold, even ideas. fluff
9977.87	Supplier#000041768	ROMANIA	491759	Manufacturer#3	dHX1qJTTDQNy	29-481-308-5750	ending warhorses sleep carefully carefully ironic notornis. final sheaves wake slyly among th
9972.07	Supplier#000087962	ROMANIA	987961	Manufacturer#4	UAnXeOOrnf0KW7jXcNn8sJx	29-986-305-8993	 express braids after the slyly final foxes x-ray furiously alongside of the ironic pains: carefull
9967.53	Supplier#000074639	UNITED KINGDOM	1724604	Manufacturer#5	aFtqXstCy9mPxDxP	33-208-912-2010	deposits. carefully final deposits cajole blithely bold foxes. carefully even platelets
9964.25	Supplier#000096253	ROMANIA	646240	Manufacturer#2	zathOWfV1IK DCgsh5goxZ oCC	29-411-331-9917	arefully regular requests
9961.34	Supplier#000016272	UNITED KINGDOM	1016271	Manufacturer#4	MgSqMFihB5voR65MTjO9Gsu	33-964-689-9063	sts along the blithely ironic instructions detect blithely final courts. 
9956.07	Supplier#000075095	RUSSIA	1775094	Manufacturer#3	FBPv5AChKCuLIWKlQiIFPJKHshhIFF	32-369-450-2486	he blithely pending theodolites. theodolites cajole slyly up the carefully even notornis. hockey
9945.64	Supplier#000012773	UNITED KINGDOM	1787755	Manufacturer#4	wuDi54Iv3wBLKVQvR1km4J7	33-871-809-2504	refully across the even requests. 
9945.36	Supplier#000036819	ROMANIA	1936818	Manufacturer#3	NJfzlpQ4TqMDtYWAjXM9kFSjqTs7ZnIwHmUvT	29-370-897-9499	al accounts. carefully ruthless requests haggle blithely express depos
9944.02	Supplier#000010019	ROMANIA	1085008	Manufacturer#1	6fy8i iDm,kCwJfaiNRZtVWeAtrLnQT	29-695-919-1392	y regular excuses are blithely special theodolites. final excuses sleep
9941.34	Supplier#000072026	UNITED KINGDOM	372025	Manufacturer#5	76usUx7kzzLL	33-161-494-3924	 beans. final, unusual foxes haggle furiously above the slyly special excuses. silently unu
9939.40	Supplier#000028113	RUSSIA	603106	Manufacturer#1	HrnOoqKBep02Dvafwz9SHIzaJWlL	32-938-722-6528	ideas. ruthlessly ironic accounts should are slyly special, regular pla
