s_name	s_address
Supplier#000000012	aLIW  q0HYd
Supplier#000000015	olXVbNBfVzRqgokr1T,Ie
Supplier#000000060	cb08ntDTARo47WmnBcYXu
Supplier#000000124	vmVadCZ xHPbQQA2fLxr68T1YhmjVSuRUJKCrcq6
Supplier#000000136	SyWVom9ZFrTA6BMAS
Supplier#000000235	W89jjgy458
Supplier#000000238	xjSZNq AIqmrV UfxyGcS04RYOzW
Supplier#000000245	8qUceq1TSsNaTol3Ul6TDNSu9yRddanHEL
Supplier#000000308	mVY7rtoxj9uSqzAJIp TOWPsv080hbPbOStGZx
Supplier#000000347	zg0m5HrQtl D
Supplier#000000348	ZNEHF5c7kP5tPGdQ ZrJZNRdQnu0M9LVyO urMm
Supplier#000000421	tXZPR dOYjjbGjarXxKPn,1
Supplier#000000517	NkRQYLe9d8vEXNO KKk8rxK502OI2 
Supplier#000000638	YfXfPM0,m6CdwYYiQjmy9dcN
Supplier#000000668	lLpUAYxvq5Gu9eLRdlrj
Supplier#000000693	S,mnHfsroFOVieQGdcaY5eod,8Zmji8
Supplier#000000757	PE9,2xp10mYiiKvHbHIVG1KIPLDtomT
Supplier#000000786	QiKBtsiRdDZ2xGcwZgOSoMaKSH4HQ360,88L
Supplier#000000795	1ozaCnTPf4sAV7oY6VE6y7RqC,WLUVXi
Supplier#000000805	LXWtvxudFJf56Uep17HO,NYC4A4mlr
Supplier#000000871	gTuPG353pz9sxS6iazJuqQtji6xN,Q9qgG2
Supplier#000000892	j6prA4M3sX9a9xHem3HOZpYy
Supplier#000000901	dVN377SgJQURQd8,XtVF9
Supplier#000001015	P4DJu8H4uBwPuxz5
Supplier#000001037	QrDKVeIxzNFoCDf4
Supplier#000001040	R0BOFsUB3j 8NrouhzaD5EYPFCP
Supplier#000001241	TsZ  TYfcF5d,PRf9
Supplier#000001278	fvx7QQ5hGaBLdlD
Supplier#000001328	GMmS3QncZY9r5znw5pAZjgMudX5IobDzLE4Dz
Supplier#000001377	 UqDARB1LpswZQirXRMsde
Supplier#000001395	,ost3cczaEuPkvhSitkUPr3pGraXk0xNg3WZ
Supplier#000001406	xvfVP4UqVFTqXGjedP7U86UuOU1QzQla3Wj4O
Supplier#000001453	e1XQux,y BE
Supplier#000001483	P23Nxp kYtqrv imDiUHVZtbUnz
Supplier#000001507	JnqoaK,6Qg
Supplier#000001530	gMeWFxQBzD1YJGuhdoSJV41RgCVI
Supplier#000001556	4WGfuUewnE0EzhrFO
Supplier#000001598	tBpG0u4Yf5tBsJwe6Oo5,ayiO19Lb
Supplier#000001613	u5Z9UgWdfELP,hrWtPfj9lsrvGGNHvE
Supplier#000001694	ozS4Fm3Do Ld5ZZ9Rt
Supplier#000001777	PnqBSa4xn8ZG8HnNgft7u6Zifn
Supplier#000001799	G0gkN90wTzwZ1saDn2b7vh6
Supplier#000001894	dPRr4r43oK3EWdk1UmEmutjV6aXtcU
Supplier#000002119	E8p6oQMDNR7,NNGxqoGDZsoood9sYFt6NEH,
Supplier#000002127	bfBD88wohtla
Supplier#000002129	bXwx9YXnh08M3EiQe
Supplier#000002156	7aQ psAL3n58R
Supplier#000002254	LN4oMYUDiEig8PtRwFz 
Supplier#000002342	xw3qJ1mffXVou66hIqmedyx,
Supplier#000002355	cwFVZ6IFKvv0CSuW8K tlSenqBu
Supplier#000002372	BwftakIRj5NBO3x0lcAJZbs8E k8yCL7f
Supplier#000002387	ZfC27DFeh,AEpy5CWOY
Supplier#000002421	jIIalqYeEL3ktnsrjTikOYN,EEG,wLWTqOD4
Supplier#000002431	WZx5fCjhvQVdNUB 3vNgNZsUUF
Supplier#000002466	lhyLkN5MSl3SzXCc0a
Supplier#000002479	ljPjzEMXbEUjd51mpuFZGthk4Mc5RC
Supplier#000002563	sT7R4q4Nfxt5wAS7JQcp
Supplier#000002600	x6q9Kzx AfI7yqjYujRs4t RTvO9v2pgG73morL
Supplier#000002695	ildy7QNbrDD8eRVPQVUPD
Supplier#000002727	kLi RyYaUPXk IhCUPulfm1mivvPWkfFPlEFq
Supplier#000002747	Tg3 99K0lqdnqP3tr
Supplier#000002863	CKTfjYetZLnm1KxDLjb3Br4Nec
Supplier#000002894	UVVMOnNXCV0Gcc
Supplier#000003040	xv4jkaRH0sYJZ0X0dsqAu4p 2Yw
Supplier#000003047	FuYidA,WeJOANHkgrypZb0wv Zcadcy3iN
Supplier#000003163	1a12bXvGYZs3gFSYsRtTJ7I6CZd5OhHNjvY
Supplier#000003195	y4TyUvKINQFteapCIasc
Supplier#000003208	tgLoFm3LDaDlVyjbw36QmiQ19lrwg02ABOJE
Supplier#000003224	uehMf22Gyj10xiRpK8oT
Supplier#000003244	F83AVb,jqnseMRZrl4UwlyixFKcPac
Supplier#000003249	gCvoob6Ul8x025IjOki458EkDbA5X4yNyt,D
Supplier#000003522	ODcWij9FOSN
Supplier#000003560	g0cYh,7irrnBIPpIjONxadT,z
Supplier#000003919	uKT4wOITgzQI,tCG3p7R
Supplier#000003935	rDYYLkD,3wGqNVTo0TdmV8EJlDwwQbnYlHgZ1zVH
Supplier#000003951	qajkuLHgP cRkdooPutjgKa8zxnYW
Supplier#000004029	dSCJo3zeBWOvlROaMg729Vq415d
Supplier#000004035	,8jhWpbqUWx6z9xQ43xiHpAJ  RUv5WKAhY4
Supplier#000004051	6pfbBoZ3ShZMK
Supplier#000004056	cHP8axhX4jEhoLR2j
Supplier#000004086	KTYGIMlW8QAwgnW3brLo1IJKkT8Jh
Supplier#000004097	959 JrnyclmoMkfgiHOn0iEN7p7NR4BUJyeI4la
Supplier#000004133	ojv6Hwnm6sSaPr7bVbxptcmZpG5
Supplier#000004228	p82YcdMAVKXGr
Supplier#000004267	iV50e6z8gV 
Supplier#000004283	rRw1tpxLpTFsglPnZiiV0WOPqsI7KyKk
Supplier#000004302	y8J,yet1HbesuNlD61o
Supplier#000004367	Uyq8GDTYNJNEupawrH0Em1EjQbvtUTQKy
Supplier#000004455	eGuuA8OB9CB3UG
Supplier#000004473	NlIlhLtMQr
Supplier#000004507	BCEriobperTXRQwdmGMvPIiJJgfXPZ3I6S0
Supplier#000004630	G4w9jUoC5 b RFZGZivCWr7MbOSOnfke0SQphJr
Supplier#000004649	s4kO8xwlrr5KcICe
Supplier#000004650	UZUhxJGMhAV2dev7aQ3bn4J
Supplier#000004667	Um06UA4W7osWGE8x4
Supplier#000004675	x,G9aE4O,Qbj5Y4hMEV4aJ6K6kb,dX8BM9Y3U
Supplier#000004758	KiHe9i4FhMuM7ZjFvcG
Supplier#000004775	sUP9OJdnypQogZeq
Supplier#000004776	rqBhrPpxZFhTZQ8V3BjoCv8L14Wy67Jy2Y
Supplier#000004804	NdUhkuDe8ChG VxmXqQsZ
Supplier#000004813	bQCHDBDUfuWdiDxm,28qIs79Sgr23WBX1NqP
Supplier#000004948	371vWhovseINrPrUUsJBUOADLVqrxOLrRCf0S
Supplier#000004953	mA7pbv8umMzz3342ZCqZGTgR1I gc
Supplier#000005017	RMaCRF8C,C3
Supplier#000005073	YyQ5nXEFLYZ
Supplier#000005120	4ms,2ZOxHyGylzr8X0JswgHTS KuJ8fyobBbs
Supplier#000005140	8zjhdOxG W0fTytk2FtNrR4aa0ZI,rQ M0V1eZqx
Supplier#000005150	sFYSjz4iydwo SAB2rOz1c32la,4jd5Oz2dwYT6r
Supplier#000005162	yboWLOJWaU55ZbBOG 
Supplier#000005243	YEZuqd5VnYzjHlhjEYAnHEBvNP2bv9z
Supplier#000005286	YOOfyQndKArEGwg2g9BRDBe7rI60c7TuuK
Supplier#000005321	uPBUzETr1ILHP1k3niRF
Supplier#000005382	JO3p0fKZRP,MzliJUpCr6h139CaH1TrSlQ3Jk
Supplier#000005387	Wr8XJY,rbMMdS
Supplier#000005557	3ShyjCpd0fgHZZ,rqk1PAc n6kixym9Iej3FmHV
Supplier#000005596	D3,itcRfI 1essBcPzRRgArSMtHgHjNo8kc8
Supplier#000005608	0VKQeRI S4B61buMvEevlRhO
Supplier#000005681	In3MJ575HjR
Supplier#000005749	X2SFFwGxttEpASPa7LZL,L
Supplier#000005764	VoAeTqnKXYmAEVpZy
Supplier#000005820	xKuv0Q0e2blJSIOCOB4
Supplier#000006026	GJnwCYGwSA FQDk,VV LtjlIKY
Supplier#000006079	7Zz2wqr8P0V3hh
Supplier#000006120	byBcsYEkrMZLidZ7BUVkUv5GSntSLjZ WO57rAy
Supplier#000006124	KsV6PYudv3JASdU85i
Supplier#000006125	qss,ZNIC67LLACrk,xIU,
Supplier#000006178	HdoJKrXMoX3fNzftUbtZdDqvypMN9D1D5Pz
Supplier#000006388	sIEnnJ0qa4ZMJP8Bv2EfEdOdyUc24mpO3
Supplier#000006413	v,b2O08ar3
Supplier#000006426	uyJ7mouse7RTDny8LBNIesAu4rBjVWMLcMcMFoec
Supplier#000006440	RGFwLQetEihzvW4T8yqzcH5WcenjjMp
Supplier#000006621	T35LAZIU0Q
Supplier#000006834	AaevZtSW0U3ftE rxnX2UT55WmOsd
Supplier#000006936	XhPUrxphgHjY09AvhwqyUzchuy
Supplier#000007062	DGBGsC97WZ uHillDcuwPuK6qYr3vw
Supplier#000007064	ep lHd3q8kDIWLG R7h,9z7AEcvqxi1GNN49
Supplier#000007070	p,,oEzctc j2973nbRl8Qiv6xVs84K
Supplier#000007209	 MbnHmU1lXT
Supplier#000007338	FgOOm6MpqY3mE wnIrAStuyf
